Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Kuhn;840101;U06;1912;1917;1932;1932;2;6;16;2;0;5;0;1713;1912;1952;1952;x
Sage;840102;U06;1911;1932;1932;1932;3;6;0;1;0;5;0;unknownleader;1911;1964;1964;x
Benson;840103;U06;1908;1912;1914;1922;1;8;4096;3;0;5;1;1744;1908;1928;1999;x
Forrest III N.B.;840104;U06;1930;1942;1990;1990;3;5;0;1;0;5;2;L60510;1930;1981;1981;x
Rockwell;840105;U06;1950;1955;1960;1965;0;5;256;1;0;5;0;U06_001;1945;2000;2000;x
Suhayda;840106;U06;1960;1972;1980;1990;0;5;16;1;0;5;0;U06_002;1955;2020;2020;x
Pierce;840107;U06;1970;1982;1990;2000;0;5;4;1;0;5;0;U06_003;1945;2002;2002;x
Johnson;840108;U06;1930;1942;1990;1990;0;5;128;1;0;5;0;U06_004;1964;2020;2020;x
Gilchrist;840109;U06;1930;1942;1990;1990;0;5;0;1;0;5;0;U06_005;1960;2020;2020;x
Gilchrist;840110;U06;1930;1942;1990;1990;0;5;0;1;0;5;1;U06_005;1960;2020;2020;x
Gilchrist;840111;U06;1930;1942;1990;1990;0;5;0;1;0;5;2;U06_005;1960;2020;2020;x
