Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Fenet;1075001;U52;1941;1941;1941;1999;1;5;0;5;0;1;2;Henri_Fenet;1941;1999;1999;x
Gillis;1075002;U52;1941;1941;1999;1999;3;2;262144;0;0;5;0;Leon_Gillis;1941;1999;1999;x
Leroy;1075003;U52;1941;1999;1999;1999;3;2;262144;0;0;5;0;Jacques_Leroy;1941;1999;1999;x
Mathieu;1075004;U52;1941;1941;1999;1999;3;2;262144;0;0;5;0;jules_mathieu;1941;1999;1999;x
Lamproye;1075005;U52;1941;1999;1999;1999;3;2;262144;0;0;5;0;marcel_lamproye;1941;1999;1999;x
Cance;1075006;U52;1941;1999;1999;1999;3;2;262144;0;0;5;0;pierre_cance;1941;1999;1999;x
Puaud;1075007;U52;1941;1999;1999;1999;3;2;262144;0;0;5;0;edgar_puaud;1941;1999;1999;x
Géromini;1075008;U52;1941;1999;1999;1999;3;2;262144;0;0;5;0;jeanbaptiste_geromini;1941;1999;1999;x
Tchékhoff;1075009;U52;1941;1941;1999;1999;3;2;262144;0;0;5;0;georges_tchekhoff;1941;1999;1999;x
Boudet-Gheusi;1075010;U52;1941;1941;1999;1999;3;2;262144;0;0;5;0;jean_boudetgheusi;1941;1999;1999;x
Raybaud;1075011;U52;1941;1941;1999;1999;3;2;262144;0;0;5;0;emile_raybaud;1941;1999;1999;x
Degrelle;1075012;U52;1941;1941;1941;1941;0;7;10;2;0;5;0;M511001;1941;1999;1999;x
Hagemans;1075013;U52;1941;1999;1999;1999;3;4;256;0;0;5;0;M511025;1941;1942;1999;x
Vermeire;1075014;U52;1941;1941;1941;1999;1;4;0;2;0;5;0;jean_vermeire;1941;1999;1999;x
Vermeire;1075015;U52;1941;1941;1941;1999;1;3;0;0;0;5;1;jean_vermeire;1941;1999;1999;x
de Vaugelas;1075016;U52;1941;1941;1941;1999;1;3;0;1;0;5;1;unknownleader;1941;1999;1999;x
Dengis;1075017;U52;1941;1941;1999;1999;3;2;262144;0;0;5;0;Pierre_Dengis;1941;1999;1999;x
