U57;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
1100001;Head of State;Konstantin Rodzaevsky;1933;1964;1999;ST;Powerhungry Demagogue;High;rodzaevsky_konstantin;X
1100002;Head of Government;Lev Okhotin;1933;1964;1999;ST;Silent Workhorse;High;okhotin_lev;X
1100003;Foreign Minister;Konstantin Rodzaevsky;1933;1964;1999;ST;ideological crusader;High;rodzaevsky_konstantin;X
1100004;Minister of Armament;Ivan Mikhailov;1933;1964;1999;ST;Administrative Genius;High;michilov_ivan;X
1100005;Minister of Security;Alexei Baksheev;1933;1964;1999;ST;crime fighter;High;baksheev_alexei;X
1100006;Head of Military Intelligence;M.A. Matkovskii;1933;1964;1999;ST;Dismal Enigma;High;unknownminister;X
1100007;Chief of Staff;Konstantin Rodzaevsky;1933;1964;1999;ST;school of mass combat;High;rodzaevsky_konstantin;X
1100008;Chief of Army;Lev Vlasyevsky;1933;1964;1999;ST;decisive battle doctrine;High;vlasevskii_lev;X
1100009;Chief of Navy;Lev Okhotin;1933;1964;1999;ST;Decisive Naval Battle Doctrine;High;okhotin_lev;X
1100010;Chief of Air Force;Boris Shepunov;1933;1964;1999;ST;Air Superiority Doctrine;High;shipunov_boris;X
